period_days,ml_enabled,final_balance,total_trades,max_drawdown,profit_factor,gross_pnl,net_pnl,total_fees,total_slippage_cost_estimate
30,False,999.0733010954459,300,-1.0063308760963992,0.49353470057676285,0.033103282405989254,-0.9266989045540868,0.7198516392263387,0.23995054773288607
90,False,996.7155621299427,948,-3.3786277435463035,0.41664348138478985,-0.2498739193120356,-3.2844378700573316,2.275022728531886,0.7583408995155939
30,True,999.8732595762034,169,-0.45451912017915674,0.8377629759753153,0.4152834835999938,-0.12674042379660477,0.4056176760665588,0.13520590863351026
90,True,998.6304920489139,538,-1.687231166462766,0.533026740201067,0.35362932882397846,-1.3695079510861206,1.2914527073019242,0.4304842499124327
